[2020-09-29 18:25:38,450] INFO - Some torch.cuda functionality unavailable
[2020-09-29 18:25:51,054] INFO - Epoch [1/80], Step [100/500] Loss: 1.7410
[2020-09-29 18:26:02,137] INFO - Epoch [1/80], Step [200/500] Loss: 1.6409
[2020-09-29 18:26:13,322] INFO - Epoch [1/80], Step [300/500] Loss: 1.6071
[2020-09-29 18:26:24,442] INFO - Epoch [1/80], Step [400/500] Loss: 1.4674
[2020-09-29 18:26:35,563] INFO - Epoch [1/80], Step [500/500] Loss: 1.3767
[2020-09-29 18:26:46,646] INFO - Epoch [2/80], Step [100/500] Loss: 1.4676
[2020-09-29 18:26:58,680] INFO - Epoch [2/80], Step [200/500] Loss: 1.2924
[2020-09-29 18:27:09,753] INFO - Epoch [2/80], Step [300/500] Loss: 1.1695
[2020-09-29 18:27:20,844] INFO - Epoch [2/80], Step [400/500] Loss: 1.4939
[2020-09-29 18:27:31,932] INFO - Epoch [2/80], Step [500/500] Loss: 1.4307
[2020-09-29 18:27:43,076] INFO - Epoch [3/80], Step [100/500] Loss: 1.5184
[2020-09-29 18:27:54,225] INFO - Epoch [3/80], Step [200/500] Loss: 1.2629
[2020-09-29 18:28:05,351] INFO - Epoch [3/80], Step [300/500] Loss: 1.2728
[2020-09-29 18:28:16,426] INFO - Epoch [3/80], Step [400/500] Loss: 1.3658
[2020-09-29 18:28:27,554] INFO - Epoch [3/80], Step [500/500] Loss: 1.0284
[2020-09-29 18:28:38,646] INFO - Epoch [4/80], Step [100/500] Loss: 1.1431
[2020-09-29 18:28:50,699] INFO - Epoch [4/80], Step [200/500] Loss: 1.1553
[2020-09-29 18:29:01,785] INFO - Epoch [4/80], Step [300/500] Loss: 0.9286
[2020-09-29 18:29:12,923] INFO - Epoch [4/80], Step [400/500] Loss: 1.0676
[2020-09-29 18:29:24,011] INFO - Epoch [4/80], Step [500/500] Loss: 0.9907
[2020-09-29 18:29:35,133] INFO - Epoch [5/80], Step [100/500] Loss: 1.1266
[2020-09-29 18:29:46,214] INFO - Epoch [5/80], Step [200/500] Loss: 0.8359
[2020-09-29 18:29:57,386] INFO - Epoch [5/80], Step [300/500] Loss: 0.9719
[2020-09-29 18:30:08,592] INFO - Epoch [5/80], Step [400/500] Loss: 0.8951
[2020-09-29 18:30:19,727] INFO - Epoch [5/80], Step [500/500] Loss: 0.9736
[2020-09-29 18:30:30,882] INFO - Epoch [6/80], Step [100/500] Loss: 1.0001
[2020-09-29 18:30:42,029] INFO - Epoch [6/80], Step [200/500] Loss: 1.0935
[2020-09-29 18:30:53,239] INFO - Epoch [6/80], Step [300/500] Loss: 0.9957
[2020-09-29 18:31:04,335] INFO - Epoch [6/80], Step [400/500] Loss: 0.8560
[2020-09-29 18:31:15,437] INFO - Epoch [6/80], Step [500/500] Loss: 0.9935
[2020-09-29 18:31:30,352] INFO - Epoch [7/80], Step [100/500] Loss: 1.0099
[2020-09-29 18:33:47,811] INFO - Epoch [7/80], Step [200/500] Loss: 0.9733
[2020-09-29 18:35:11,036] INFO - Epoch [7/80], Step [300/500] Loss: 1.0341
[2020-09-29 18:35:22,158] INFO - Epoch [7/80], Step [400/500] Loss: 1.3440
[2020-09-29 18:35:34,219] INFO - Epoch [7/80], Step [500/500] Loss: 0.8401
[2020-09-29 18:37:27,251] INFO - Epoch [8/80], Step [100/500] Loss: 0.7056
[2020-09-29 18:39:55,813] INFO - Epoch [8/80], Step [200/500] Loss: 0.8574
[2020-09-29 18:40:16,253] INFO - Epoch [8/80], Step [300/500] Loss: 0.8272
[2020-09-29 18:40:27,349] INFO - Epoch [8/80], Step [400/500] Loss: 0.7018
[2020-09-29 18:41:03,827] INFO - Epoch [8/80], Step [500/500] Loss: 0.8485
[2020-09-29 18:43:29,402] INFO - Epoch [9/80], Step [100/500] Loss: 0.8031
[2020-09-29 18:45:08,868] INFO - Epoch [9/80], Step [200/500] Loss: 0.9175
[2020-09-29 18:45:20,082] INFO - Epoch [9/80], Step [300/500] Loss: 0.9785
[2020-09-29 18:45:31,260] INFO - Epoch [9/80], Step [400/500] Loss: 0.7825
[2020-09-29 18:46:49,154] INFO - Epoch [9/80], Step [500/500] Loss: 0.8534
[2020-09-29 18:48:59,624] INFO - Epoch [10/80], Step [100/500] Loss: 0.9164
[2020-09-29 18:50:11,810] INFO - Epoch [10/80], Step [200/500] Loss: 0.6722
[2020-09-29 18:50:22,885] INFO - Epoch [10/80], Step [300/500] Loss: 0.7298
[2020-09-29 18:50:35,074] INFO - Epoch [10/80], Step [400/500] Loss: 0.8208
[2020-09-29 18:52:26,386] INFO - Epoch [10/80], Step [500/500] Loss: 0.8410
[2020-09-29 18:54:48,828] INFO - Epoch [11/80], Step [100/500] Loss: 0.7672
[2020-09-29 18:55:15,594] INFO - Epoch [11/80], Step [200/500] Loss: 0.8123
[2020-09-29 18:55:26,637] INFO - Epoch [11/80], Step [300/500] Loss: 0.8253
[2020-09-29 18:55:50,296] INFO - Epoch [11/80], Step [400/500] Loss: 0.8253
[2020-09-29 18:58:04,412] INFO - Epoch [11/80], Step [500/500] Loss: 0.8134
[2020-09-29 19:00:07,090] INFO - Epoch [12/80], Step [100/500] Loss: 0.5047
[2020-09-29 19:00:18,123] INFO - Epoch [12/80], Step [200/500] Loss: 0.8525
[2020-09-29 19:00:29,289] INFO - Epoch [12/80], Step [300/500] Loss: 0.7349
[2020-09-29 19:01:25,554] INFO - Epoch [12/80], Step [400/500] Loss: 0.6806
[2020-09-29 19:03:46,059] INFO - Epoch [12/80], Step [500/500] Loss: 0.9746
[2020-09-29 19:05:10,260] INFO - Epoch [13/80], Step [100/500] Loss: 0.9385
[2020-09-29 19:05:21,375] INFO - Epoch [13/80], Step [200/500] Loss: 0.6916
[2020-09-29 19:05:33,043] INFO - Epoch [13/80], Step [300/500] Loss: 0.7554
[2020-09-29 19:07:04,626] INFO - Epoch [13/80], Step [400/500] Loss: 0.8017
[2020-09-29 19:09:23,892] INFO - Epoch [13/80], Step [500/500] Loss: 0.6234
[2020-09-29 19:10:13,760] INFO - Epoch [14/80], Step [100/500] Loss: 0.6883
[2020-09-29 19:10:24,805] INFO - Epoch [14/80], Step [200/500] Loss: 0.9553
[2020-09-29 19:10:38,764] INFO - Epoch [14/80], Step [300/500] Loss: 0.6667
[2020-09-29 19:12:47,990] INFO - Epoch [14/80], Step [400/500] Loss: 0.6853
