[2020-09-29 16:54:24,999] INFO - Some torch.cuda functionality unavailable
[2020-09-29 16:55:04,269] INFO - Epoch [1/80], Step [100/500] Loss: 1.6277
[2020-09-29 16:55:22,932] INFO - Epoch [1/80], Step [200/500] Loss: 1.5462
[2020-09-29 16:55:41,573] INFO - Epoch [1/80], Step [300/500] Loss: 1.4959
[2020-09-29 16:56:00,705] INFO - Epoch [1/80], Step [400/500] Loss: 1.4150
[2020-09-29 16:56:19,235] INFO - Epoch [1/80], Step [500/500] Loss: 1.2716
[2020-09-29 16:56:37,764] INFO - Epoch [2/80], Step [100/500] Loss: 1.3325
[2020-09-29 16:56:56,302] INFO - Epoch [2/80], Step [200/500] Loss: 1.2153
[2020-09-29 16:57:14,827] INFO - Epoch [2/80], Step [300/500] Loss: 1.4569
[2020-09-29 16:57:33,321] INFO - Epoch [2/80], Step [400/500] Loss: 1.2674
[2020-09-29 16:57:51,855] INFO - Epoch [2/80], Step [500/500] Loss: 1.1942
[2020-09-29 16:58:10,342] INFO - Epoch [3/80], Step [100/500] Loss: 0.9459
[2020-09-29 16:58:28,875] INFO - Epoch [3/80], Step [200/500] Loss: 1.0402
[2020-09-29 16:58:47,461] INFO - Epoch [3/80], Step [300/500] Loss: 1.1264
[2020-09-29 16:59:05,950] INFO - Epoch [3/80], Step [400/500] Loss: 0.9974
[2020-09-29 16:59:24,512] INFO - Epoch [3/80], Step [500/500] Loss: 1.1020
[2020-09-29 16:59:43,022] INFO - Epoch [4/80], Step [100/500] Loss: 1.0681
[2020-09-29 17:00:01,501] INFO - Epoch [4/80], Step [200/500] Loss: 0.9590
[2020-09-29 17:00:20,110] INFO - Epoch [4/80], Step [300/500] Loss: 0.7625
[2020-09-29 17:00:38,654] INFO - Epoch [4/80], Step [400/500] Loss: 1.0597
[2020-09-29 17:00:57,182] INFO - Epoch [4/80], Step [500/500] Loss: 1.0244
[2020-09-29 17:01:15,694] INFO - Epoch [5/80], Step [100/500] Loss: 1.0380
[2020-09-29 17:01:34,282] INFO - Epoch [5/80], Step [200/500] Loss: 0.9272
[2020-09-29 17:01:52,788] INFO - Epoch [5/80], Step [300/500] Loss: 0.9300
[2020-09-29 17:02:11,284] INFO - Epoch [5/80], Step [400/500] Loss: 0.8580
[2020-09-29 17:02:29,815] INFO - Epoch [5/80], Step [500/500] Loss: 0.9167
[2020-09-29 17:02:48,305] INFO - Epoch [6/80], Step [100/500] Loss: 0.8269
[2020-09-29 17:03:06,774] INFO - Epoch [6/80], Step [200/500] Loss: 1.0434
[2020-09-29 17:03:25,296] INFO - Epoch [6/80], Step [300/500] Loss: 0.7903
[2020-09-29 17:03:43,821] INFO - Epoch [6/80], Step [400/500] Loss: 0.8615
[2020-09-29 17:04:02,269] INFO - Epoch [6/80], Step [500/500] Loss: 0.9964
[2020-09-29 17:04:20,788] INFO - Epoch [7/80], Step [100/500] Loss: 0.7729
